id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL,league,app-id
9,Golden State Warriors,Golden State,Warriors,Warriors,GS,fdb927,1d428a,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,NBA,176
10,Houston Rockets,Houston,Rockets,Rockets,HOU,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/hou.png,NBA,177
11,Indiana Pacers,Indiana,Pacers,Pacers,IND,0c2340,ffd520,https://a.espncdn.com/i/teamlogos/nba/500/ind.png,NBA,178
12,LA Clippers,LA,Clippers,Clippers,LAC,12173f,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/lac.png,NBA,179
13,Los Angeles Lakers,Los Angeles,Lakers,Lakers,LAL,552583,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/lal.png,NBA,180
14,Miami Heat,Miami,Heat,Heat,MIA,98002e,000000,https://a.espncdn.com/i/teamlogos/nba/500/mia.png,NBA,181
15,Milwaukee Bucks,Milwaukee,Bucks,Bucks,MIL,00471b,eee1c6,https://a.espncdn.com/i/teamlogos/nba/500/mil.png,NBA,182
16,Minnesota Timberwolves,Minnesota,Timberwolves,Timberwolves,MIN,266092,79bc43,https://a.espncdn.com/i/teamlogos/nba/500/min.png,NBA,183
17,Brooklyn Nets,Brooklyn,Nets,Nets,BKN,000000,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,NBA,184
18,New York Knicks,New York,Knicks,Knicks,NY,1d428a,f58426,https://a.espncdn.com/i/teamlogos/nba/500/ny.png,NBA,185
19,Orlando Magic,Orlando,Magic,Magic,ORL,0150b5,9ca0a3,https://a.espncdn.com/i/teamlogos/nba/500/orl.png,NBA,186
20,Philadelphia 76ers,Philadelphia,76ers,76ers,PHI,1d428a,e01234,https://a.espncdn.com/i/teamlogos/nba/500/phi.png,NBA,187
21,Phoenix Suns,Phoenix,Suns,Suns,PHX,29127a,e56020,https://a.espncdn.com/i/teamlogos/nba/500/phx.png,NBA,188
22,Portland Trail Blazers,Portland,Trail Blazers,Trail Blazers,POR,e03a3e,000000,https://a.espncdn.com/i/teamlogos/nba/500/por.png,NBA,189
23,Sacramento Kings,Sacramento,Kings,Kings,SAC,5a2d81,6a7a82,https://a.espncdn.com/i/teamlogos/nba/500/sac.png,NBA,190
24,San Antonio Spurs,San Antonio,Spurs,Spurs,SA,000000,c4ced4,https://a.espncdn.com/i/teamlogos/nba/500/sa.png,NBA,191
25,Oklahoma City Thunder,Oklahoma City,Thunder,Thunder,OKC,007ac1,ef3b24,https://a.espncdn.com/i/teamlogos/nba/500/okc.png,NBA,192
26,Utah Jazz,Utah,Jazz,Jazz,UTAH,4e008e,79a3dc,https://a.espncdn.com/i/teamlogos/nba/500/utah.png,NBA,193
27,Washington Wizards,Washington,Wizards,Wizards,WSH,e31837,002b5c,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png,NBA,194
28,Toronto Raptors,Toronto,Raptors,Raptors,TOR,d91244,000000,https://a.espncdn.com/i/teamlogos/nba/500/tor.png,NBA,195
29,Memphis Grizzlies,Memphis,Grizzlies,Grizzlies,MEM,5d76a9,12173f,https://a.espncdn.com/i/teamlogos/nba/500/mem.png,NBA,196
30,Charlotte Hornets,Charlotte,Hornets,Hornets,CHA,008ca8,1d1060,https://a.espncdn.com/i/teamlogos/nba/500/cha.png,NBA,197
1,Baltimore Orioles,Baltimore,Orioles,Orioles,BAL,df4601,000000,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,MLB,198
2,Boston Red Sox,Boston,Red Sox,Red Sox,BOS,0d2b56,bd3039,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,MLB,199
3,Los Angeles Angels,Los Angeles,Angels,Angels,LAA,ba0021,c4ced4,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,MLB,200
4,Chicago White Sox,Chicago,White Sox,White Sox,CHW,000000,c4ced4,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png,MLB,201
5,Cleveland Guardians,Cleveland,Guardians,Guardians,CLE,002b5c,e31937,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,MLB,202
6,Detroit Tigers,Detroit,Tigers,Tigers,DET,0a2240,ff4713,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,MLB,203
7,Kansas City Royals,Kansas City,Royals,Royals,KC,004687,7ab2dd,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,MLB,204
8,Milwaukee Brewers,Milwaukee,Brewers,Brewers,MIL,13294b,ffc72c,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,MLB,205
9,Minnesota Twins,Minnesota,Twins,Twins,MIN,031f40,e20e32,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,MLB,206
10,New York Yankees,New York,Yankees,Yankees,NYY,132448,c4ced4,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,MLB,207
11,Athletics,Athletics,Athletics,Athletics,ATH,003831,efb21e,https://a.espncdn.com/i/teamlogos/mlb/500/ath.png,MLB,208
12,Seattle Mariners,Seattle,Mariners,Mariners,SEA,005c5c,0c2c56,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,MLB,209
13,Texas Rangers,Texas,Rangers,Rangers,TEX,003278,c0111f,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,MLB,210
14,Toronto Blue Jays,Toronto,Blue Jays,Blue Jays,TOR,134a8e,6cace5,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,MLB,211
15,Atlanta Braves,Atlanta,Braves,Braves,ATL,0c2340,ba0c2f,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,MLB,212
16,Chicago Cubs,Chicago,Cubs,Cubs,CHC,0e3386,cc3433,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,MLB,213
17,Cincinnati Reds,Cincinnati,Reds,Reds,CIN,c6011f,ffffff,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,MLB,214
18,Houston Astros,Houston,Astros,Astros,HOU,002d62,eb6e1f,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,MLB,215
19,Los Angeles Dodgers,Los Angeles,Dodgers,Dodgers,LAD,005a9c,ffffff,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,MLB,216
20,Washington Nationals,Washington,Nationals,Nationals,WSH,ab0003,11225b,https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png,MLB,217
21,New York Mets,New York,Mets,Mets,NYM,002d72,ff5910,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,MLB,218
22,Philadelphia Phillies,Philadelphia,Phillies,Phillies,PHI,e81828,003278,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,MLB,219
23,Pittsburgh Pirates,Pittsburgh,Pirates,Pirates,PIT,000000,fdb827,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,MLB,220
24,St. Louis Cardinals,St. Louis,Cardinals,Cardinals,STL,be0a14,001541,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,MLB,221
25,San Diego Padres,San Diego,Padres,Padres,SD,2f241d,ffc425,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,MLB,222
26,San Francisco Giants,San Francisco,Giants,Giants,SF,000000,fd5a1e,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png,MLB,223
27,Colorado Rockies,Colorado,Rockies,Rockies,COL,33006f,000000,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,MLB,224
28,Miami Marlins,Miami,Marlins,Marlins,MIA,00a3e0,000000,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png,MLB,225
29,Arizona Diamondbacks,Arizona,Diamondbacks,Diamondbacks,ARI,aa182c,000000,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,MLB,226
30,Tampa Bay Rays,Tampa Bay,Rays,Rays,TB,092c5c,8fbce6,https://a.espncdn.com/i/teamlogos/mlb/500/tb.png,MLB,227
331,Brighton & Hove Albion,Brighton & Hove Albion,Brighton & Hove Albion,Brighton,BHA,0606fa,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,PREM,228
337,Brentford,Brentford,Brentford,Brentford,BRE,f42727,f8ced9,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,PREM,229
349,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,Bournemouth,BOU,f42727,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,PREM,230
357,Leeds United,Leeds United,Leeds United,Leeds,LEE,ffffff,ffff00,https://a.espncdn.com/i/teamlogos/soccer/500/357.png,PREM,231
359,Arsenal,Arsenal,Arsenal,Arsenal,ARS,e20520,132257,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,PREM,232
360,Manchester United,Manchester United,Manchester United,Man United,MAN,da020e,144992,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,PREM,233
361,Newcastle United,Newcastle United,Newcastle United,Newcastle,NEW,000000,cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,PREM,234
362,Aston Villa,Aston Villa,Aston Villa,Aston Villa,AVL,660e36,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,PREM,235
363,Chelsea,Chelsea,Chelsea,Chelsea,CHE,144992,ffeeee,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,PREM,236
364,Liverpool,Liverpool,Liverpool,Liverpool,LIV,d11317,132257,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,PREM,237
366,Sunderland,Sunderland,Sunderland,Sunderland,SUN,EB172B,87cced,https://a.espncdn.com/i/teamlogos/soccer/500/366.png,PREM,238
367,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Spurs,TOT,ffffff,9bafd8,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,PREM,239
368,Everton,Everton,Everton,Everton,EVE,0606fa,132257,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,PREM,240
370,Fulham,Fulham,Fulham,Fulham,FUL,ffffff,d11317,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,PREM,241
371,West Ham United,West Ham United,West Ham United,West Ham,WHU,7c2c3b,000000,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,PREM,242
379,Burnley,Burnley,Burnley,Burnley,BUR,6C1D45,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,PREM,243
380,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolves,WOL,fdb913,cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,PREM,244
382,Manchester City,Manchester City,Manchester City,Man City,MNC,99c5ea,e6ff00,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,PREM,245
384,Crystal Palace,Crystal Palace,Crystal Palace,C Palace,CRY,0202fb,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,PREM,246
393,Nottingham Forest,Nottingham Forest,Nottingham Forest,Nottm Forest,NFO,c8102e,132257,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,PREM,247
