espn_team_id,display_name,location,name,short_display_name,abbreviation,color,alternate_color,logo_url,league_id,id
278,"Fresno State Bulldogs","Fresno State",Bulldogs,"Fresno St",FRES,c41230,13284c,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,3,112
290,"Georgia Southern Eagles","Georgia Southern",Eagles,"GA Southern",GASO,003775,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,3,113
295,"Old Dominion Monarchs","Old Dominion",Monarchs,"Old Dominion",ODU,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,3,114
309,"Louisiana Ragin' Cajuns",Louisiana,"Ragin' Cajuns",Louisiana,UL,ce181e,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,3,115
324,"Coastal Carolina Chanticleers","Coastal Carolina",Chanticleers,Coastal,CCU,007073,876447,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,3,116
326,"Texas State Bobcats","Texas State",Bobcats,"Texas St",TXST,4e1719,b4975a,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,3,117
328,"Utah State Aggies","Utah State",Aggies,"Utah State",USU,00263a,949ca1,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,3,118
333,"Alabama Crimson Tide",Alabama,"Crimson Tide",Alabama,ALA,9e1632,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,3,119
338,"Kennesaw State Owls","Kennesaw State",Owls,"Kennesaw St",KENN,fdbb30,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,3,120
344,"Mississippi State Bulldogs","Mississippi State",Bulldogs,"Mississippi St",MSST,5d1725,c1c6c8,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,3,121
349,"Army Black Knights",Army,"Black Knights",Army,ARMY,ce9c00,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,3,122
356,"Illinois Fighting Illini",Illinois,"Fighting Illini",Illinois,ILL,ff5f05,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,3,123
2005,"Air Force Falcons","Air Force",Falcons,"Air Force",AFA,003594,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,3,124
2006,"Akron Zips",Akron,Zips,Akron,AKR,00285e,84754e,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,3,125
2026,"App State Mountaineers","App State",Mountaineers,"App State",APP,000000,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,3,126
2032,"Arkansas State Red Wolves","Arkansas State","Red Wolves","Arkansas St",ARST,e81018,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,3,127
2050,"Ball State Cardinals","Ball State",Cardinals,"Ball State",BALL,DA0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,3,128
2084,"Buffalo Bulls",Buffalo,Bulls,Buffalo,BUFF,041A9B,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,3,129
2116,"UCF Knights",UCF,Knights,UCF,UCF,000000,b4a269,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,3,130
2117,"Central Michigan Chippewas","Central Michigan",Chippewas,"C Michigan",CMU,6a0032,ffc82e,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,3,131
2132,"Cincinnati Bearcats",Cincinnati,Bearcats,Cincinnati,CIN,000000,717073,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,3,132
2199,"Eastern Michigan Eagles","Eastern Michigan",Eagles,"E Michigan",EMU,00331b,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,3,133
2226,"Florida Atlantic Owls","Florida Atlantic",Owls,FAU,FAU,00447c,d31245,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,3,134
2229,"Florida International Panthers","Florida International",Panthers,FIU,FIU,001538,c5960c,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,3,135
2247,"Georgia State Panthers","Georgia State",Panthers,"Georgia St",GAST,1e539a,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,3,136
2294,"Iowa Hawkeyes",Iowa,Hawkeyes,Iowa,IOWA,000000,fcd116,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,3,137
2305,"Kansas Jayhawks",Kansas,Jayhawks,Kansas,KU,0051ba,e8000d,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,3,138
2306,"Kansas State Wildcats","Kansas State",Wildcats,"Kansas St",KSU,3c0969,e2e3e4,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,3,139
2309,"Kent State Golden Flashes","Kent State","Golden Flashes","Kent State",KENT,003976,efab00,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,3,140
2335,"Liberty Flames",Liberty,Flames,Liberty,LIB,071740,a61f21,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,3,141
2348,"Louisiana Tech Bulldogs","Louisiana Tech",Bulldogs,"Louisiana Tech",LT,002d65,d3313a,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,3,142
2390,"Miami Hurricanes",Miami,Hurricanes,Miami,MIA,005030,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,3,143
2393,"Middle Tennessee Blue Raiders","Middle Tennessee","Blue Raiders",MTSU,MTSU,006db6,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,3,144
2426,"Navy Midshipmen",Navy,Midshipmen,Navy,NAVY,00225b,b5a67c,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,3,145
2429,"Charlotte 49ers",Charlotte,49ers,Charlotte,CLT,ffffff,cfab7a,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,3,146
2433,"UL Monroe Warhawks","UL Monroe",Warhawks,"UL Monroe",ULM,231F20,b18445,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,3,147
2439,"UNLV Rebels",UNLV,Rebels,UNLV,UNLV,b10202,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,3,148
2440,"Nevada Wolf Pack",Nevada,"Wolf Pack",Nevada,NEV,002d62,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,3,149
2459,"Northern Illinois Huskies","Northern Illinois",Huskies,"N Illinois",NIU,F1122C,cc0000,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,3,150
2483,"Oregon Ducks",Oregon,Ducks,Oregon,ORE,007030,fee11a,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,3,151
2509,"Purdue Boilermakers",Purdue,Boilermakers,Purdue,PUR,000000,cfb991,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,3,152
2534,"Sam Houston Bearkats","Sam Houston",Bearkats,"Sam Houston",SHSU,fe5000,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,3,153
2567,"SMU Mustangs",SMU,Mustangs,SMU,SMU,354ca1,cc0035,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,3,154
2572,"Southern Miss Golden Eagles","Southern Miss","Golden Eagles","Southern Miss",USM,FFAA3C,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,3,155
2579,"South Carolina Gamecocks","South Carolina",Gamecocks,"South Carolina",SC,73000a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,3,156
2623,"Missouri State Bears","Missouri State",Bears,"Missouri St",MOST,5F0000,e8e8e8,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,3,157
